"pair_id","dataset","source_id","trait","tier","outcome_id","outcome_ancestry","analysis_role","effect_scale","method","method_role","nsnp","beta","se","ci_lower","ci_upper","p","exponentiable","or","or_ci_lower","or_ci_upper","mean_F","min_F","analysis_status","error_message","warning_message","p_for_fdr","q","fdr_significant","family_denominator"
"source_study_wide|GCST90671653","microbiome_2026","GCST90671653","Gut microbiome family abundance (Bifidobacteriaceae)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.108028213166144,0.21676802507837,-0.316829308987336,0.532885735319624,0.618231299473913,TRUE,1.11407917664399,0.728455085250564,1.70384205829907,104.203264,104.203264,"estimated","","",0.618231299473913,1,FALSE,27
"source_study_wide|GCST90671789","microbiome_2026","GCST90671789","Gut microbiome class abundance (Actinomycetia)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.106197226502311,0.213093990755008,-0.311459320699415,0.523853773704038,0.618231299473913,TRUE,1.11204117887184,0.732377402499905,1.68852231006243,107.827456,107.827456,"estimated","","",0.618231299473913,1,FALSE,27
"source_study_wide|GCST90671808","microbiome_2026","GCST90671808","Gut microbiome phylum abundance (Actinomycetota)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.123295169946333,0.247402504472272,-0.36160482850433,0.608195168396995,0.618231299473913,TRUE,1.1312182733105,0.696557573159547,1.83711272575379,83.9776941682344,83.9776941682344,"estimated","","",0.618231299473913,1,FALSE,27
"source_study_wide|GCST90671741","microbiome_2026","GCST90671741","Gut microbiome order abundance (Actinomycetales)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.1059523443505,0.212602613374327,-0.310741120882276,0.522645809583275,0.618231299473914,TRUE,1.11176889317536,0.732903584745836,1.68648386712561,108.326464,108.326464,"estimated","","",0.618231299473914,1,FALSE,27
"source_study_wide|GCST90670591","microbiome_2026","GCST90670591","Gut microbiome species abundance (Copromonas sp000435795, GCA_014385265.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.170622395833333,0.359841145833333,-0.875898081822292,0.534653290155625,0.63538558099319,TRUE,0.843139886503901,0.416487811536148,1.70685635575223,43.833531510107,43.833531510107,"estimated","","",0.63538558099319,1,FALSE,27
"source_study_wide|GCST90670684","microbiome_2026","GCST90670684","Gut microbiome species presence (Clostridium saudiense, GCF_000577815.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.0332777368905244,0.142793008279669,-0.313146890362805,0.246591416581756,0.815723524631373,TRUE,0.967269875751463,0.731142506892546,1.27965615966267,51.4794410134083,51.4794410134083,"estimated","","",0.815723524631373,1,FALSE,27
"source_study_wide|GCST90670473","microbiome_2026","GCST90670473","Gut microbiome species abundance (Blautia A obeum, GCA_025147765.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.0845612273361227,0.384207810320781,-0.668472243471604,0.83759469814385,0.825799176869524,TRUE,1.0882394721962,0.512490941385267,2.31080211026714,45.7537379850481,45.7537379850481,"estimated","","",0.825799176869524,1,FALSE,27
"source_study_wide|GCST90670756","microbiome_2026","GCST90670756","Gut microbiome species abundance (Intestinibacter sp900540355, GCF_015667935.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.0657831306990881,0.453670212765957,-0.954960408578988,0.823394147180812,0.884709218731233,TRUE,0.936333904353502,0.384827380114201,2.27821934131012,43.2964,43.2964,"estimated","","",0.884709218731233,1,FALSE,27
"source_study_wide|GCST90671524","microbiome_2026","GCST90671524","Gut microbiome genus abundance (Turicibacter)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.0528425811437403,0.398648377125193,-0.83417904280446,0.728493880516979,0.894545827955127,TRUE,0.948529317130538,0.434230820059851,2.0719576407131,48.3996993872124,48.3996993872124,"estimated","","",0.894545827955127,1,FALSE,27
"source_study_wide|GCST90671723","microbiome_2026","GCST90671723","Gut microbiome family abundance (Turicibacteraceae)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.0528425811437403,0.398648377125193,-0.83417904280446,0.728493880516979,0.894545827955127,TRUE,0.948529317130538,0.434230820059851,2.0719576407131,48.3996993872124,48.3996993872124,"estimated","","",0.894545827955127,1,FALSE,27
"source_study_wide|GCST90671781","microbiome_2026","GCST90671781","Gut microbiome order abundance (Haloplasmatales)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,-0.0528425811437403,0.398648377125193,-0.83417904280446,0.728493880516979,0.894545827955127,TRUE,0.948529317130538,0.434230820059851,2.0719576407131,48.3996993872124,48.3996993872124,"estimated","","",0.894545827955127,1,FALSE,27
"source_study_wide|GCST90670769","microbiome_2026","GCST90670769","Gut microbiome species presence (Coprobacillus cateniformis, GCF_009767585.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.00607299355594611,0.102488869361453,-0.194801499208732,0.206947486320624,0.952748881646244,TRUE,1.00609147156799,0.822998007598696,1.22991798256626,71.0586556927298,71.0586556927298,"estimated","","",0.952748881646244,1,FALSE,27
"source_study_wide|GCST90671463","microbiome_2026","GCST90671463","Gut microbiome genus presence (Coprobacillus)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","mr_wald_ratio","primary_estimator",1,0.00654044164037855,0.110377602523659,-0.209795684005871,0.222876567286628,0.952748881646244,TRUE,1.00656187703564,0.81074987821631,1.24966631451185,71.4588444444444,71.4588444444444,"estimated","","",0.952748881646244,1,FALSE,27
"source_study_wide|GCST90670524","microbiome_2026","GCST90670524","Gut microbiome species abundance (Mediterraneibacter torques, GCF_000153925.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","not_estimable","robust_estimator",0,,,,,,TRUE,,,,,,"not_estimable","No harmonised instruments remained","",1,1,FALSE,27
"source_study_wide|GCST90670630","microbiome_2026","GCST90670630","Gut microbiome species presence (Clostridium sp001916075, GCF_014287815.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","not_estimable","robust_estimator",0,,,,,,TRUE,,,,,,"not_estimable","No harmonised instruments remained","",1,1,FALSE,27
"source_study_wide|GCST90671130","microbiome_2026","GCST90671130","Gut microbiome species abundance (Faecalibacterium longum, GCF_020687245.1)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","not_estimable","robust_estimator",0,,,,,,TRUE,,,,,,"not_estimable","No harmonised instruments remained","",1,1,FALSE,27
"source_study_wide|GCST90671601","microbiome_2026","GCST90671601","Gut microbiome genus abundance (UMGS1623)","source_study_wide_sensitivity","finngen_r12_erectile_dysfunction","Finnish","source_study_wide_sensitivity","log_odds","not_estimable","robust_estimator",0,,,,,,TRUE,,,,,,"not_estimable","No harmonised instruments remained","",1,1,FALSE,27
