"signal_cluster","representative_source_id","representative_trait","cluster_members","member_source_ids","p_for_fdr","nested_taxonomic_cluster","q_unique_signal_cluster","unique_cluster_denominator"
"trait_GCST90670774","GCST90670774","Gut microbiome species abundance (Pauljensenia sp000278725, GCF_000278725.1)",1,"GCST90670774",0.0907875187009254,FALSE,0.960539151291193,225
"trait_GCST90670908","GCST90670908","Gut microbiome species presence (Scatomorpha sp900759385, GCA_900759385.1)",1,"GCST90670908",0.0915176074201761,FALSE,0.960539151291193,225
"trait_GCST90670546","GCST90670546","Gut microbiome species presence (Gemmiger sp900540775, GCF_018784445.1)",1,"GCST90670546",0.0931134691042082,FALSE,0.960539151291193,225
"trait_GCST90670875","GCST90670875","Gut microbiome species presence (Blautia A luti, GCF_009707925.1)",1,"GCST90670875",0.0966767588916477,FALSE,0.960539151291193,225
"trait_GCST90671822","GCST90671822","Gut microbiome superkingdom presence (Eukaryota)",1,"GCST90671822",0.105470097389089,FALSE,0.960539151291193,225
"trait_GCST90671147","GCST90671147","Gut microbiome species presence (Cag-433 hMGS.05835, )",1,"GCST90671147",0.111124001232486,FALSE,0.960539151291193,225
"trait_GCST90671389","GCST90671389","Gut microbiome genus presence (Limivicinus)",1,"GCST90671389",0.113122108695974,FALSE,0.960539151291193,225
"trait_GCST90671057","GCST90671057","Gut microbiome species presence (Emergencia sp904420065, GCA_904420065.1)",1,"GCST90671057",0.113226872434991,FALSE,0.960539151291193,225
"trait_GCST90671324","GCST90671324","Gut microbiome genus presence (Phascolarctobacterium)",1,"GCST90671324",0.114427896785626,FALSE,0.960539151291193,225
"trait_GCST90671614","GCST90671614","Gut microbiome genus presence (Pseudoruminococcus)",1,"GCST90671614",0.131991280137216,FALSE,0.960539151291193,225
"trait_GCST90670534","GCST90670534","Gut microbiome species abundance (Acutalibacter ornithocaccae, GCA_000435395.1)",1,"GCST90670534",0.137280958319233,FALSE,0.960539151291193,225
"trait_GCST90671397","GCST90671397","Gut microbiome genus presence (Merdicola)",1,"GCST90671397",0.139935336472453,FALSE,0.960539151291193,225
"trait_GCST90671159","GCST90671159","Gut microbiome species presence (Butyribacter hominis, GCF_014384965.1)",1,"GCST90671159",0.145581392882825,FALSE,0.960539151291193,225
"trait_GCST90671500","GCST90671500","Gut microbiome genus presence (Alectryocaccomicrobium)",1,"GCST90671500",0.146890336788082,FALSE,0.960539151291193,225
"trait_GCST90670890","GCST90670890","Gut microbiome species presence (Pseudobutyricicoccus sp003477405, GCA_003477405.1)",1,"GCST90670890",0.152012610459768,FALSE,0.960539151291193,225
"trait_GCST90670884","GCST90670884","Gut microbiome species abundance (Enterocloster excrementigallinarum, GCA_900547035.1)",1,"GCST90670884",0.159579034407126,FALSE,0.960539151291193,225
"trait_GCST90670786","GCST90670786","Gut microbiome species presence (V9D3004 sp900760345, GCA_900760345.1)",1,"GCST90670786",0.159655730512454,FALSE,0.960539151291193,225
"trait_GCST90670387","GCST90670387","Gut microbiome species abundance (Ruminiclostridium E siraeum, GCA_025150425.1)",1,"GCST90670387",0.161037239567823,FALSE,0.960539151291193,225
"trait_GCST90670838","GCST90670838","Gut microbiome species presence (Massilicoli timonensis, GCF_900199515.1)",1,"GCST90670838",0.162246034635997,FALSE,0.960539151291193,225
"trait_GCST90670426","GCST90670426","Gut microbiome species abundance (Agathobaculum butyriciproducens, GCA_003096535.1)",1,"GCST90670426",0.167967603293638,FALSE,0.960539151291193,225
"trait_GCST90671499","GCST90671499","Gut microbiome genus presence (UMGS1484)",1,"GCST90671499",0.168180064064572,FALSE,0.960539151291193,225
"trait_GCST90671189","GCST90671189","Gut microbiome species abundance (Dysosmobacter sp944387015, GCA_944387015.1)",1,"GCST90671189",0.168813409484889,FALSE,0.960539151291193,225
"trait_GCST90671072","GCST90671072","Gut microbiome species presence (HGM14224 sp900761905, GCA_900761905.1)",1,"GCST90671072",0.170034685520076,FALSE,0.960539151291193,225
"trait_GCST90671588","GCST90671588","Gut microbiome genus presence (HGM14224)",1,"GCST90671588",0.171951020502782,FALSE,0.960539151291193,225
"trait_GCST90671733","GCST90671733","Gut microbiome family presence (HGM14224)",1,"GCST90671733",0.171951020502782,FALSE,0.960539151291193,225
"trait_GCST90671784","GCST90671784","Gut microbiome order presence (DTUO25)",1,"GCST90671784",0.171951020502782,FALSE,0.960539151291193,225
"trait_GCST90671139","GCST90671139","Gut microbiome species abundance (Actinomyces graevenitzii hMGS.05799, )",1,"GCST90671139",0.179310293488495,FALSE,0.960539151291193,225
"trait_GCST90671664","GCST90671664","Gut microbiome family abundance (Coprobacillaceae)",1,"GCST90671664",0.195832338120866,FALSE,0.960539151291193,225
"trait_GCST90671689","GCST90671689","Gut microbiome family presence (Propionibacteriaceae)",1,"GCST90671689",0.198518159744119,FALSE,0.960539151291193,225
"trait_GCST90671764","GCST90671764","Gut microbiome order presence (Propionibacteriales)",1,"GCST90671764",0.198518159744119,FALSE,0.960539151291193,225
"trait_GCST90671830","GCST90671830","Gut microbiome function abundance (Maltose degradation, MF0008)",1,"GCST90671830",0.201667939889615,FALSE,0.960539151291193,225
"trait_GCST90671181","GCST90671181","Gut microbiome species presence (Blautia A wexlerae B, GCF_013300825.1)",1,"GCST90671181",0.213199533883761,FALSE,0.960539151291193,225
"trait_GCST90670460","GCST90670460","Gut microbiome species presence (Eubacterium R sp000434995, GCA_000434995.1)",1,"GCST90670460",0.214040910098983,FALSE,0.960539151291193,225
"trait_GCST90671434","GCST90671434","Gut microbiome genus presence (UBA10281)",1,"GCST90671434",0.221727994253473,FALSE,0.960539151291193,225
"trait_GCST90671032","GCST90671032","Gut microbiome species presence (Dysosmobacter hMGS.03207, )",1,"GCST90671032",0.225615423740577,FALSE,0.960539151291193,225
"trait_GCST90671188","GCST90671188","Gut microbiome species presence (Thomasclavelia sp000508865, GCA_000508865.1)",1,"GCST90671188",0.226324739441605,FALSE,0.960539151291193,225
"trait_GCST90670711","GCST90670711","Gut microbiome species abundance (Egerieenecus merdigallinarum, GCA_900553295.1)",1,"GCST90670711",0.226416127494702,FALSE,0.960539151291193,225
"trait_GCST90671323","GCST90671323","Gut microbiome genus abundance (Agathobaculum)",1,"GCST90671323",0.238684647140107,FALSE,0.960539151291193,225
"trait_GCST90671353","GCST90671353","Gut microbiome genus presence (Peptidiphaga)",1,"GCST90671353",0.245874934113401,FALSE,0.960539151291193,225
"trait_GCST90670409","GCST90670409","Gut microbiome species presence (Faecalibacterium prausnitzii A, GCF_023347235.1)",1,"GCST90670409",0.256317484116628,FALSE,0.960539151291193,225
"trait_GCST90670555","GCST90670555","Gut microbiome species abundance (Limiplasma merdipullorum, GCA_900540045.1)",1,"GCST90670555",0.261293270576053,FALSE,0.960539151291193,225
"trait_GCST90671089","GCST90671089","Gut microbiome species abundance (Pullichristensenella excrementipullorum, GCA_900754775.1)",1,"GCST90671089",0.261293270576053,FALSE,0.960539151291193,225
"trait_GCST90671122","GCST90671122","Gut microbiome species abundance (Pullichristensenella hMGS.05548, )",1,"GCST90671122",0.261293270576053,FALSE,0.960539151291193,225
"trait_GCST90671164","GCST90671164","Gut microbiome species presence (Vescimonas fastidiosa, GCF_018326305.1)",1,"GCST90671164",0.269569052866598,FALSE,0.960539151291193,225
"trait_GCST90670384","GCST90670384","Gut microbiome species presence (Coprococcus eutactus A, GCF_001404675.1)",1,"GCST90670384",0.26972132327202,FALSE,0.960539151291193,225
"trait_GCST90671902","GCST90671902","Gut microbiome function abundance (Ethanol production I, MF0090)",1,"GCST90671902",0.275285439053323,FALSE,0.960539151291193,225
"trait_GCST90671210","GCST90671210","Gut microbiome species abundance (Zhenpiania hominis, GCF_014333425.1)",1,"GCST90671210",0.278254116167994,FALSE,0.960539151291193,225
"trait_GCST90670408","GCST90670408","Gut microbiome species presence (Fimenecus sp000432435, GCA_000432435.1)",1,"GCST90670408",0.279253595874817,FALSE,0.960539151291193,225
"trait_GCST90671314","GCST90671314","Gut microbiome genus presence (Fimenecus)",1,"GCST90671314",0.279253595874817,FALSE,0.960539151291193,225
"trait_GCST90671172","GCST90671172","Gut microbiome species abundance (UMGS1623 sp934647945, GCA_934647945.1)",1,"GCST90671172",0.29454666306571,FALSE,0.960539151291193,225
"trait_GCST90670910","GCST90670910","Gut microbiome species abundance (Turicibacter sanguinis, GCF_013046825.1)",1,"GCST90670910",0.298110501791738,FALSE,0.960539151291193,225
"trait_GCST90670684","GCST90670684","Gut microbiome species presence (Clostridium saudiense, GCF_000577815.1)",1,"GCST90670684",0.298935903042746,FALSE,0.960539151291193,225
"trait_GCST90670572","GCST90670572","Gut microbiome species abundance (Alistipes A ihumii, GCA_025144665.1)",1,"GCST90670572",0.302519956615618,FALSE,0.960539151291193,225
"trait_GCST90671102","GCST90671102","Gut microbiome species presence (UMGS882 sp900757905, GCA_900757905.1)",1,"GCST90671102",0.304809465671756,FALSE,0.960539151291193,225
"trait_GCST90670749","GCST90670749","Gut microbiome species abundance (Lachnoclostridium B sp900066555, GCF_003477705.1)",1,"GCST90670749",0.305371252799809,FALSE,0.960539151291193,225
"trait_GCST90671674","GCST90671674","Gut microbiome family abundance (Lactobacillaceae)",1,"GCST90671674",0.311662208490739,FALSE,0.960539151291193,225
"trait_GCST90671360","GCST90671360","Gut microbiome genus presence (Scatocola)",1,"GCST90671360",0.319155843114337,FALSE,0.960539151291193,225
"trait_GCST90671554","GCST90671554","Gut microbiome genus presence (Gallimonas)",1,"GCST90671554",0.321174981260425,FALSE,0.960539151291193,225
"trait_GCST90670478","GCST90670478","Gut microbiome species presence (CAG-882 sp003486385, GCA_003486385.1)",1,"GCST90670478",0.327217224004735,FALSE,0.960539151291193,225
"trait_GCST90671115","GCST90671115","Gut microbiome species presence (Lawsonibacter hMGS.05443, )",1,"GCST90671115",0.342162010719933,FALSE,0.960539151291193,225
"trait_GCST90670385","GCST90670385","Gut microbiome species presence (Bifidobacterium bifidum, GCF_001025135.1)",1,"GCST90670385",0.345570430935615,FALSE,0.960539151291193,225
"trait_GCST90670780","GCST90670780","Gut microbiome species presence (Faecalibacterium prausnitzii F, GCF_002549775.1)",1,"GCST90670780",0.346659318286186,FALSE,0.960539151291193,225
"trait_GCST90671218","GCST90671218","Gut microbiome species abundance (Lentihominibacter excrementipullorum, GCA_900543485.1)",1,"GCST90671218",0.348848959530752,FALSE,0.960539151291193,225
"trait_GCST90670368","GCST90670368","Gut microbiome alpha diversity abundance (Richness)",1,"GCST90670368",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90670407","GCST90670407","Gut microbiome species presence (SFEL01 sp004557245, GCA_004557245.1)",1,"GCST90670407",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90671449","GCST90671449","Gut microbiome genus presence (Faeciplasma)",1,"GCST90671449",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90671470","GCST90671470","Gut microbiome genus presence (V9D3004)",1,"GCST90671470",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90671570","GCST90671570","Gut microbiome genus presence (UMGS1384)",1,"GCST90671570",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90671716","GCST90671716","Gut microbiome family presence (Feifaniaceae)",1,"GCST90671716",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90671729","GCST90671729","Gut microbiome family presence (UMGS1384)",1,"GCST90671729",0.358601283148712,FALSE,0.960539151291193,225
"trait_GCST90671717","GCST90671717","Gut microbiome family presence (Burkholderiaceae)",1,"GCST90671717",0.367765948465325,FALSE,0.973498098878802,225
"trait_GCST90670564","GCST90670564","Gut microbiome species presence (UBA738 sp003522945, GCA_003522945.1)",1,"GCST90670564",0.379034425539346,FALSE,0.980261445360378,225
"trait_GCST90671377","GCST90671377","Gut microbiome genus presence (UBA738)",1,"GCST90671377",0.379034425539346,FALSE,0.980261445360378,225
"trait_GCST90670492","GCST90670492","Gut microbiome species presence (CAG-313 sp003539625, GCA_003539625.1)",1,"GCST90670492",0.388128653299061,FALSE,0.992374397639644,225
"trait_GCST90671882","GCST90671882","Gut microbiome function abundance (Glycolysis (preparatory phase), MF0067)",1,"GCST90671882",0.396785313745336,FALSE,0.999921271429515,225
"trait_GCST90670417","GCST90670417","Gut microbiome species abundance (Alistipes onderdonkii, GCA_025145285.1)",1,"GCST90670417",0.400907448653582,FALSE,0.999921271429515,225
"trait_GCST90670635","GCST90670635","Gut microbiome species presence (Agathobacter sp000434275, GCA_902363675.1)",1,"GCST90670635",0.405388309407031,FALSE,0.999921271429515,225
"trait_GCST90671450","GCST90671450","Gut microbiome genus presence (UBA11512)",1,"GCST90671450",0.413300792190866,FALSE,0.999921271429515,225
"trait_GCST90671821","GCST90671821","Gut microbiome superkingdom presence (Archaea)",1,"GCST90671821",0.413300792190866,FALSE,0.999921271429515,225
"trait_GCST90670517","GCST90670517","Gut microbiome species presence (Ventricola sp900542395, GCA_900542395.1)",1,"GCST90670517",0.42807092015255,FALSE,1,225
"trait_GCST90670943","GCST90670943","Gut microbiome species presence (Pauljensenia bouchesdurhonensis, GCF_900128465.1)",1,"GCST90670943",0.443404946049579,FALSE,1,225
"trait_GCST90671755","GCST90671755","Gut microbiome order abundance (Veillonellales)",1,"GCST90671755",0.453483714064638,FALSE,1,225
"trait_GCST90670634","GCST90670634","Gut microbiome species presence (CAG-245 sp000434195, GCA_000434195.1)",1,"GCST90670634",0.458690847915859,FALSE,1,225
"trait_GCST90670988","GCST90670988","Gut microbiome species abundance (Gordonibacter pamelaeae, GCF_000210055.1)",1,"GCST90670988",0.464569931424853,FALSE,1,225
"trait_GCST90671695","GCST90671695","Gut microbiome family abundance (Pumilibacteraceae)",1,"GCST90671695",0.478700409471685,FALSE,1,225
"trait_GCST90670687","GCST90670687","Gut microbiome species abundance (UMGS1071 sp900542375, GCA_900542375.1)",1,"GCST90670687",0.480239655581467,FALSE,1,225
"trait_GCST90670815","GCST90670815","Gut microbiome species presence (Scatenecus faecavium, GCA_900551915.1)",1,"GCST90670815",0.486378406716285,FALSE,1,225
"trait_GCST90670515","GCST90670515","Gut microbiome species abundance (CAG-170 sp900545925, GCA_900545925.1)",1,"GCST90670515",0.490178462194678,FALSE,1,225
"trait_GCST90670449","GCST90670449","Gut microbiome species abundance (Mediterraneibacter faecis, GCA_001312505.1)",1,"GCST90670449",0.499775428260856,FALSE,1,225
"trait_GCST90671336","GCST90671336","Gut microbiome genus abundance (Mediterraneibacter)",1,"GCST90671336",0.499775428260856,FALSE,1,225
"trait_GCST90671259","GCST90671259","Gut microbiome species abundance (JAHZGC01 sp019421015, GCA_019421015.1)",1,"GCST90671259",0.50945534575038,FALSE,1,225
"trait_GCST90671075","GCST90671075","Gut microbiome species presence (Lachnoclostridium B sp000765215, GCF_000765215.1)",1,"GCST90671075",0.515062462221516,FALSE,1,225
"trait_GCST90671285","GCST90671285","Gut microbiome species presence (Lentihominibacter sp905193765, GCA_905193765.1)",1,"GCST90671285",0.541528579195427,FALSE,1,225
"trait_GCST90671414","GCST90671414","Gut microbiome genus presence (Sellimonas)",1,"GCST90671414",0.541685218669883,FALSE,1,225
"trait_GCST90671866","GCST90671866","Gut microbiome function abundance (Serine degradation, MF0048)",1,"GCST90671866",0.544343850777447,FALSE,1,225
"trait_GCST90671235","GCST90671235","Gut microbiome species presence (Dysosmobacter A sp014334055, GCF_014334055.1)",1,"GCST90671235",0.557414970686148,FALSE,1,225
"trait_GCST90671474","GCST90671474","Gut microbiome genus abundance (Massilistercora)",1,"GCST90671474",0.561889030628358,FALSE,1,225
"trait_GCST90671277","GCST90671277","Gut microbiome species presence (Excrementavichristensenella intestinipullorum, GCA_018711685.1)",1,"GCST90671277",0.570508307302005,FALSE,1,225
"trait_GCST90670937","GCST90670937","Gut microbiome species presence (Massilistercora sp902406105, GCA_902406105.1)",1,"GCST90670937",0.574761976884856,FALSE,1,225
"trait_GCST90671832","GCST90671832","Gut microbiome function abundance (Sucrose degradation I, MF0010)",1,"GCST90671832",0.585477353410414,FALSE,1,225
"trait_GCST90670756","GCST90670756","Gut microbiome species abundance (Intestinibacter sp900540355, GCF_015667935.1)",1,"GCST90670756",0.589605844074519,FALSE,1,225
"trait_GCST90671829","GCST90671829","Gut microbiome function abundance (Lactose and galactose degradation, MF0007)",1,"GCST90671829",0.604085626705598,FALSE,1,225
"trait_GCST90670562","GCST90670562","Gut microbiome species presence (CAG-273 sp000437855, GCA_000437855.1)",1,"GCST90670562",0.611791377565657,FALSE,1,225
"exact_aaa25bc336af","GCST90671012","Gut microbiome species abundance (Phocea massiliensis, GCF_900104615.1)",2,"GCST90671012;GCST90671563",0.612894308543243,TRUE,1,225
"trait_GCST90670392","GCST90670392","Gut microbiome species presence (Bifidobacterium pseudocatenulatum, GCF_001025215.1)",1,"GCST90670392",0.612894308543243,FALSE,1,225
"trait_GCST90670550","GCST90670550","Gut microbiome species presence (Negativibacillus sp000435195, GCA_000435195.1)",1,"GCST90670550",0.612894308543243,FALSE,1,225
"trait_GCST90671843","GCST90671843","Gut microbiome function abundance (Xylose degradation, MF0021)",1,"GCST90671843",0.612894308543243,FALSE,1,225
"trait_GCST90671385","GCST90671385","Gut microbiome genus presence (Alloscardovia)",1,"GCST90671385",0.613116853675178,FALSE,1,225
"trait_GCST90670374","GCST90670374","Gut microbiome species abundance (Bifidobacterium adolescentis, GCF_000010425.1)",1,"GCST90670374",0.618231299473913,FALSE,1,225
"trait_GCST90670466","GCST90670466","Gut microbiome species presence (Bifidobacterium catenulatum, GCF_001025195.1)",1,"GCST90670466",0.618231299473913,FALSE,1,225
"trait_GCST90670881","GCST90670881","Gut microbiome species presence (Dysosmobacter excrementavium, GCA_019118505.1)",1,"GCST90670881",0.618231299473913,FALSE,1,225
"trait_GCST90671293","GCST90671293","Gut microbiome genus abundance (Bifidobacterium)",1,"GCST90671293",0.618231299473913,FALSE,1,225
"trait_GCST90671653","GCST90671653","Gut microbiome family abundance (Bifidobacteriaceae)",1,"GCST90671653",0.618231299473913,FALSE,1,225
"trait_GCST90671789","GCST90671789","Gut microbiome class abundance (Actinomycetia)",1,"GCST90671789",0.618231299473913,FALSE,1,225
"trait_GCST90671808","GCST90671808","Gut microbiome phylum abundance (Actinomycetota)",1,"GCST90671808",0.618231299473913,FALSE,1,225
"trait_GCST90671741","GCST90671741","Gut microbiome order abundance (Actinomycetales)",1,"GCST90671741",0.618231299473914,FALSE,1,225
"trait_GCST90671759","GCST90671759","Gut microbiome order abundance (TANB77)",1,"GCST90671759",0.625672237306943,FALSE,1,225
"trait_GCST90670591","GCST90670591","Gut microbiome species abundance (Copromonas sp000435795, GCA_014385265.1)",1,"GCST90670591",0.63538558099319,FALSE,1,225
"trait_GCST90671193","GCST90671193","Gut microbiome species presence (Lachnoclostridium A avicola, GCA_019114465.1)",1,"GCST90671193",0.63538558099319,FALSE,1,225
"trait_GCST90670796","GCST90670796","Gut microbiome species presence (Longicatena caecimuris, GCF_004341945.1)",1,"GCST90670796",0.639382970719619,FALSE,1,225
"trait_GCST90671214","GCST90671214","Gut microbiome species abundance (Lentihominibacter sp900066305, GCA_902362435.1)",1,"GCST90671214",0.654154639199526,FALSE,1,225
"trait_GCST90671245","GCST90671245","Gut microbiome species presence (Gehongia tenuis, GCF_014384795.1)",1,"GCST90671245",0.654506016642217,FALSE,1,225
"trait_GCST90670990","GCST90670990","Gut microbiome species presence (Harryflintia acetispora, GCA_004340125.1)",1,"GCST90670990",0.654647545352491,FALSE,1,225
"trait_GCST90670435","GCST90670435","Gut microbiome species abundance (CAG-115 sp003531585, GCA_003531585.1)",1,"GCST90670435",0.664174396876849,FALSE,1,225
"trait_GCST90670748","GCST90670748","Gut microbiome species presence (Faecousia sp000435995, GCA_900545515.1)",1,"GCST90670748",0.676188907803458,FALSE,1,225
"trait_GCST90670524","GCST90670524","Gut microbiome species abundance (Mediterraneibacter torques, GCF_000153925.1)",1,"GCST90670524",0.69405987499609,FALSE,1,225
"trait_GCST90670680","GCST90670680","Gut microbiome species presence (Spyradocola merdavium, GCA_904393115.1)",1,"GCST90670680",0.70572154979991,FALSE,1,225
"trait_GCST90671519","GCST90671519","Gut microbiome genus presence (HGM11507)",1,"GCST90671519",0.706258877827278,FALSE,1,225
"trait_GCST90671721","GCST90671721","Gut microbiome family presence (HGM11507)",1,"GCST90671721",0.706258877827278,FALSE,1,225
"trait_GCST90671780","GCST90671780","Gut microbiome order presence (UMGS1840)",1,"GCST90671780",0.706258877827278,FALSE,1,225
"trait_GCST90670644","GCST90670644","Gut microbiome species presence (CAG-345 sp000433315, GCA_000433315.1)",1,"GCST90670644",0.710374391373733,FALSE,1,225
"trait_GCST90671302","GCST90671302","Gut microbiome genus abundance (ER4)",1,"GCST90671302",0.718198432910098,FALSE,1,225
"trait_GCST90670835","GCST90670835","Gut microbiome species presence (Faecivicinus sp900553265, GCA_900553265.1)",1,"GCST90670835",0.71907444759387,FALSE,1,225
"trait_GCST90671488","GCST90671488","Gut microbiome genus presence (Merdimonas)",1,"GCST90671488",0.722038005555959,FALSE,1,225
"trait_GCST90670394","GCST90670394","Gut microbiome species abundance (Alistipes putredinis, GCF_000154465.1)",1,"GCST90670394",0.727066171405423,FALSE,1,225
"trait_GCST90670852","GCST90670852","Gut microbiome species abundance (Blautia A sp900066505, GCF_013304385.1)",1,"GCST90670852",0.727756791526909,FALSE,1,225
"trait_GCST90670927","GCST90670927","Gut microbiome species presence (Enterocloster asparagiformis, GCA_025149125.1)",1,"GCST90670927",0.731937441422669,FALSE,1,225
"trait_GCST90671561","GCST90671561","Gut microbiome genus abundance (Massilioclostridium)",1,"GCST90671561",0.734575308337009,FALSE,1,225
"trait_GCST90670428","GCST90670428","Gut microbiome species abundance (Faecousia sp000434635, GCA_000434635.1)",1,"GCST90670428",0.745272009024095,FALSE,1,225
"trait_GCST90670986","GCST90670986","Gut microbiome species presence (GCA-900066495 sp902362365, GCA_902362365.1)",1,"GCST90670986",0.746699104564027,FALSE,1,225
"trait_GCST90671613","GCST90671613","Gut microbiome genus abundance (Vescimonas)",1,"GCST90671613",0.76366489380226,FALSE,1,225
"trait_GCST90671138","GCST90671138","Gut microbiome species presence (Pseudoruminococcus massiliensis, GCF_900291955.1)",1,"GCST90671138",0.778444212130252,FALSE,1,225
"trait_GCST90671237","GCST90671237","Gut microbiome species presence (Marseille-P3106 sp900169975, GCA_900169975.1)",1,"GCST90671237",0.785875211984109,FALSE,1,225
"trait_GCST90671209","GCST90671209","Gut microbiome species presence (UMGS882 sp934479825, GCA_934479825.1)",1,"GCST90671209",0.791615313073269,FALSE,1,225
"trait_GCST90670917","GCST90670917","Gut microbiome species presence (Acutalibacter timonensis, GCF_900048895.1)",1,"GCST90670917",0.796507713021697,FALSE,1,225
"trait_GCST90671312","GCST90671312","Gut microbiome genus presence (Cryptobacteroides)",1,"GCST90671312",0.799541578391794,FALSE,1,225
"trait_GCST90671665","GCST90671665","Gut microbiome family presence (UBA932)",1,"GCST90671665",0.799541578391794,FALSE,1,225
"trait_GCST90671536","GCST90671536","Gut microbiome genus presence (Oxalobacter)",1,"GCST90671536",0.800975168838671,FALSE,1,225
"trait_GCST90671432","GCST90671432","Gut microbiome genus abundance (Spyradocola)",1,"GCST90671432",0.805384385873392,FALSE,1,225
"trait_GCST90671707","GCST90671707","Gut microbiome family abundance (UBA1750)",1,"GCST90671707",0.805384385873392,FALSE,1,225
"trait_GCST90671426","GCST90671426","Gut microbiome genus presence (UBA7597)",1,"GCST90671426",0.813520077052485,FALSE,1,225
"trait_GCST90670427","GCST90670427","Gut microbiome species presence (Phascolarctobacterium faecium, GCF_003269275.1)",1,"GCST90670427",0.817167044899937,FALSE,1,225
"trait_GCST90670554","GCST90670554","Gut microbiome species presence (Faecalimonas phoceensis, GCF_900104635.1)",1,"GCST90670554",0.81731095997303,FALSE,1,225
"trait_GCST90671001","GCST90671001","Gut microbiome species presence (Marvinbryantia sp900066075, GCA_003435055.1)",1,"GCST90671001",0.818651176623899,FALSE,1,225
"trait_GCST90670792","GCST90670792","Gut microbiome species abundance (CAG-317 sp000433215, GCF_003435815.1)",1,"GCST90670792",0.82498464255431,FALSE,1,225
"trait_GCST90670473","GCST90670473","Gut microbiome species abundance (Blautia A obeum, GCA_025147765.1)",1,"GCST90670473",0.825799176869524,FALSE,1,225
"trait_GCST90671503","GCST90671503","Gut microbiome genus abundance (Marvinbryantia)",1,"GCST90671503",0.825799176869524,FALSE,1,225
"trait_GCST90671419","GCST90671419","Gut microbiome genus abundance (Hungatella)",1,"GCST90671419",0.831663322270334,FALSE,1,225
"trait_GCST90670698","GCST90670698","Gut microbiome species presence (Negativibacillus faecipullorum, GCA_900547455.1)",1,"GCST90670698",0.839886604644221,FALSE,1,225
"trait_GCST90671465","GCST90671465","Gut microbiome genus abundance (Mogibacterium)",1,"GCST90671465",0.842317076899625,FALSE,1,225
"trait_GCST90671616","GCST90671616","Gut microbiome genus presence (Tidjanibacter)",1,"GCST90671616",0.844668533105206,FALSE,1,225
"trait_GCST90671693","GCST90671693","Gut microbiome family abundance (Peptostreptococcaceae)",1,"GCST90671693",0.846192376707138,FALSE,1,225
"trait_GCST90670784","GCST90670784","Gut microbiome species presence (Oribacterium sinus, GCF_014202695.1)",1,"GCST90670784",0.856178482551423,FALSE,1,225
"trait_GCST90671292","GCST90671292","Gut microbiome genus abundance (Agathobacter)",1,"GCST90671292",0.857900047548078,FALSE,1,225
