"mediator_id","mediator_name","family","source_dataset","source_id","source_file","analysis_tier","download_wave","instrument_policy","outcome_overlap_class","status"
"cytokine_RANTES","RANTES","cytokine","cytokines_2025_meta","GCST90428431","GCST90428431.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_SCF","Stem cell factor","cytokine","cytokines_2025_meta","GCST90428432","GCST90428432.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_SCGF_B","Stem Cell Growth Factor-beta","cytokine","cytokines_2025_meta","GCST90428433","GCST90428433.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_CXCL12","CXCL12","cytokine","cytokines_2025_meta","GCST90428434","GCST90428434.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_TNFA","Tumor necrosis factor alpha","cytokine","cytokines_2025_meta","GCST90428435","GCST90428435.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_TNFB","Tumor necrosis factor beta","cytokine","cytokines_2025_meta","GCST90428436","GCST90428436.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_TRAIL","TRAIL","cytokine","cytokines_2025_meta","GCST90428437","GCST90428437.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"cytokine_VEGF","Vascular endothelial growth factor","cytokine","cytokines_2025_meta","GCST90428438","GCST90428438.h.tsv.gz","primary_screen",1,"cis_primary_trans_sensitivity","known_partial","public_harmonised_verified"
"endothelial_SELE","E-selectin / SELE","endothelial","scallop_cvd1","SELE","SELE.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_ESM1","Endocan / ESM-1","endothelial","scallop_cvd1","ESM-1","ESM-1.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_PECAM1","PECAM-1","endothelial","scallop_cvd1","PECAM-1","PECAM-1.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_TIE2","TIE2","endothelial","scallop_cvd1","TIE2","TIE2.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_TM","Thrombomodulin","endothelial","scallop_cvd1","TM","TM.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_LOX1","LOX-1","endothelial","scallop_cvd1","LOX-1","LOX-1.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_VEGFA","VEGF-A","endothelial","scallop_cvd1","VEGF-A","VEGF-A.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_UPAR","U-PAR","endothelial","scallop_cvd1","U-PAR","U-PAR.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
"endothelial_TPA","t-PA","endothelial","scallop_cvd1","t-PA","t-PA.txt.gz","secondary_mechanistic",1,"cis_primary_trans_sensitivity","possible_unresolved","public_zenodo_verified"
